Tijdslot,Zaal,Vak,Activiteit,Student
monday 11-13,A1.10,Collectieve Intelligentie,Tutorial 2,Fatime Rodenburg
monday 11-13,A1.10,Collectieve Intelligentie,Tutorial 2,Matz Koning
monday 11-13,A1.10,Collectieve Intelligentie,Tutorial 2,Hetty Lindhout
monday 11-13,A1.10,Collectieve Intelligentie,Tutorial 2,Evi Appel
monday 11-13,A1.10,Collectieve Intelligentie,Tutorial 2,Laurentia Cooijmans
monday 11-13,B0.201,Data Mining,Lab 2,Kavish Versteeg
monday 11-13,B0.201,Data Mining,Lab 2,Ans van Montfort
monday 11-13,B0.201,Data Mining,Lab 2,Yanick Abbing
monday 11-13,B0.201,Data Mining,Lab 2,Kyan Jankie
monday 11-13,B0.201,Data Mining,Lab 2,Marise Zonneveld
monday 11-13,B0.201,Data Mining,Lab 2,Remon Kost
monday 11-13,B0.201,Data Mining,Lab 2,Michal Hooiveld
monday 11-13,B0.201,Data Mining,Lab 2,Rivelino Goor
monday 11-13,B0.201,Data Mining,Lab 2,Mahmud Heller
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Giedo Planken
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Yde Christiaens
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Cherilyn van Amelsvoort
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Chrystel Kalshoven
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Angle Berentsen
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Djamilla Wesselink
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Jo-Anne Modderkolk
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Meta van Marle
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Karam Rinkel
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Ngoc Kropman
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Yi Luten
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Deacon Gielissen
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Eylem Haas
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Jennie Roozendaal
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Rino Jacob
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Borre van Ruler
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Doetje Munsters
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Tamar Jongbloed
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Dorenda Malestein
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Tom Stokkel
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Jeremey Bontenbal
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Renco van Weel
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Kamil Streefland
monday 11-13,C0.110,Kansrekenen 2,Lecture 1,Timo Postuma
