Tijdslot,Zaal,Vak,Activiteit,Student
monday 11-13,A1.10,Moderne Databases,Tutorial 2,Juliet Noordzij
monday 11-13,A1.10,Moderne Databases,Tutorial 2,Nuriye Kooijmans
monday 11-13,A1.10,Moderne Databases,Tutorial 2,Mouna Lathouwers
monday 11-13,A1.10,Moderne Databases,Tutorial 2,Nygel Vaatstra
monday 11-13,A1.10,Moderne Databases,Tutorial 2,Abdul van der Meeren
monday 11-13,A1.10,Moderne Databases,Tutorial 2,Marck Wijngaarden
monday 11-13,A1.10,Moderne Databases,Tutorial 2,Rhona Bakkum
monday 11-13,A1.10,Moderne Databases,Tutorial 2,Dax Voskuilen
monday 11-13,A1.10,Moderne Databases,Tutorial 2,Maron Miedema
monday 11-13,A1.10,Moderne Databases,Tutorial 2,Rieke Odijk
monday 11-13,A1.10,Moderne Databases,Tutorial 2,Maureen Versantvoort
monday 11-13,A1.10,Moderne Databases,Tutorial 2,Lysbeth Keuken
monday 11-13,A1.10,Moderne Databases,Tutorial 2,Sivar Rottier
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Mattijs Baudoin
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Jarik Blikman
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Amadou Boekema
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Kathryn de Jongste
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Quido Deniz
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Rijkje Groote
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Sergio Hijdra
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Devon Keijser
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Yee Koppers
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Fynn Krabbe
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Buck Lantinga
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Vincentius Pater
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Marrit Speelman
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Xiao Teekens
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Hedwich Toetenel
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Jacky van Apeldoorn
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Carmela van Gerwen
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Berit van Ingen
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Nanet van Osta
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Jersey van Ravesteijn
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Maggy van Walsum
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Maran van Wanrooij
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Anthonius van Zoelen
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Laurent Wallenburg
monday 11-13,B0.201,Interactie-ontwerp,Lecture 2,Malte Zondag
monday 11-13,C0.110,Databases 2,Lecture 1,Wafa Bart
monday 11-13,C0.110,Databases 2,Lecture 1,Edin Bastings
monday 11-13,C0.110,Databases 2,Lecture 1,Devlin Bronsema
monday 11-13,C0.110,Databases 2,Lecture 1,Virginie Brunsveld
monday 11-13,C0.110,Databases 2,Lecture 1,Angus Brusse
monday 11-13,C0.110,Databases 2,Lecture 1,Wytske Buining
monday 11-13,C0.110,Databases 2,Lecture 1,Yde Christiaens
monday 11-13,C0.110,Databases 2,Lecture 1,Boy Dibbets
monday 11-13,C0.110,Databases 2,Lecture 1,Andre Dieters
monday 11-13,C0.110,Databases 2,Lecture 1,Kelly Doedens
monday 11-13,C0.110,Databases 2,Lecture 1,Sola Droog
monday 11-13,C0.110,Databases 2,Lecture 1,Wissal Eggens
monday 11-13,C0.110,Databases 2,Lecture 1,Pearl Elberse
monday 11-13,C0.110,Databases 2,Lecture 1,Faruk Haalboom
monday 11-13,C0.110,Databases 2,Lecture 1,Eylem Haas
monday 11-13,C0.110,Databases 2,Lecture 1,Nesrin Holt
monday 11-13,C0.110,Databases 2,Lecture 1,Faya Jagersma
monday 11-13,C0.110,Databases 2,Lecture 1,Paulo Jak
monday 11-13,C0.110,Databases 2,Lecture 1,Juliette Kant
monday 11-13,C0.110,Databases 2,Lecture 1,Enya Kemps
monday 11-13,C0.110,Databases 2,Lecture 1,Sharen Kortlever
monday 11-13,C0.110,Databases 2,Lecture 1,Corry Kroonen
monday 11-13,C0.110,Databases 2,Lecture 1,Mouna Lathouwers
monday 11-13,C0.110,Databases 2,Lecture 1,Mellisa Leemburg
monday 11-13,C0.110,Databases 2,Lecture 1,Nadia Lems
monday 11-13,C0.110,Databases 2,Lecture 1,Sanne Lentz
monday 11-13,C0.110,Databases 2,Lecture 1,Malcolm Looij
monday 11-13,C0.110,Databases 2,Lecture 1,Jo-Anne Modderkolk
monday 11-13,C0.110,Databases 2,Lecture 1,Inger Notermans
monday 11-13,C0.110,Databases 2,Lecture 1,Lee Numan
monday 11-13,C0.110,Databases 2,Lecture 1,Steijn Ooijen
monday 11-13,C0.110,Databases 2,Lecture 1,Stephano Popma
monday 11-13,C0.110,Databases 2,Lecture 1,Desiree Potgieter
monday 11-13,C0.110,Databases 2,Lecture 1,Erdal Ramcharan
monday 11-13,C0.110,Databases 2,Lecture 1,Lorraine Rijkens
monday 11-13,C0.110,Databases 2,Lecture 1,Shan Rokx
monday 11-13,C0.110,Databases 2,Lecture 1,Karolina Roodbeen
monday 11-13,C0.110,Databases 2,Lecture 1,Ziya Rooijmans
monday 11-13,C0.110,Databases 2,Lecture 1,Sivar Rottier
monday 11-13,C0.110,Databases 2,Lecture 1,Angelica Sarikaya
monday 11-13,C0.110,Databases 2,Lecture 1,Elbertha Schoneveld
monday 11-13,C0.110,Databases 2,Lecture 1,Logan Sonnemans
monday 11-13,C0.110,Databases 2,Lecture 1,Sharief Stegink
monday 11-13,C0.110,Databases 2,Lecture 1,Franklin Stuurman
monday 11-13,C0.110,Databases 2,Lecture 1,Chaimae Swiers
monday 11-13,C0.110,Databases 2,Lecture 1,Skye Tas
monday 11-13,C0.110,Databases 2,Lecture 1,Tjalle ten Pas
monday 11-13,C0.110,Databases 2,Lecture 1,Liza Traa
monday 11-13,C0.110,Databases 2,Lecture 1,Felien Uitslag
monday 11-13,C0.110,Databases 2,Lecture 1,Keely Ursem
monday 11-13,C0.110,Databases 2,Lecture 1,Cemil van Barneveld
monday 11-13,C0.110,Databases 2,Lecture 1,Shawny van de Pol
monday 11-13,C0.110,Databases 2,Lecture 1,Lakshmi van der Gaag
monday 11-13,C0.110,Databases 2,Lecture 1,Deejay van der Geer
monday 11-13,C0.110,Databases 2,Lecture 1,Daisy van der Klei
monday 11-13,C0.110,Databases 2,Lecture 1,Harwin van Loon
monday 11-13,C0.110,Databases 2,Lecture 1,Lammigje van Loveren
monday 11-13,C0.110,Databases 2,Lecture 1,Micha van Maarseveen
monday 11-13,C0.110,Databases 2,Lecture 1,Leon van Maurik
monday 11-13,C0.110,Databases 2,Lecture 1,Jodi van Riel
